,synapse_transcript_id
0,ENSMUST00000024757
1,ENSMUST00000148226
2,ENSMUST00000113615
3,ENSMUST00000017946
4,ENSMUST00000180235
5,ENSMUST00000214627
6,ENSMUST00000032926
7,ENSMUST00000107495
8,ENSMUST00000084915
9,ENSMUST00000114005
10,ENSMUST00000185006
11,ENSMUST00000020939
12,ENSMUST00000040538
13,ENSMUST00000100874
14,ENSMUST00000039327
15,ENSMUST00000191436
16,ENSMUST00000026859
17,ENSMUST00000034326
18,ENSMUST00000051016
19,ENSMUST00000027795
20,ENSMUST00000065927
21,ENSMUST00000172466
22,ENSMUST00000167574
23,ENSMUST00000222343
24,ENSMUST00000027467
25,ENSMUST00000025520
26,ENSMUST00000073822
27,ENSMUST00000014957
28,ENSMUST00000020150
29,ENSMUST00000142148
30,ENSMUST00000059551
31,ENSMUST00000206895
32,ENSMUST00000106259
33,ENSMUST00000059241
34,ENSMUST00000215568
35,ENSMUST00000079415
36,ENSMUST00000210986
37,ENSMUST00000023083
38,ENSMUST00000027285
39,ENSMUST00000213533
40,ENSMUST00000108873
41,ENSMUST00000139965
42,ENSMUST00000085133
43,ENSMUST00000055128
44,ENSMUST00000085374
45,ENSMUST00000238518
46,ENSMUST00000074662
47,ENSMUST00000079625
48,ENSMUST00000092512
49,ENSMUST00000199238
50,ENSMUST00000171496
51,ENSMUST00000179238
52,ENSMUST00000074015
53,ENSMUST00000114874
54,ENSMUST00000101534
55,ENSMUST00000088336
56,ENSMUST00000111601
57,ENSMUST00000056376
58,ENSMUST00000179781
59,ENSMUST00000121990
60,ENSMUST00000110007
61,ENSMUST00000087543
62,ENSMUST00000040689
63,ENSMUST00000000299
64,ENSMUST00000040888
65,ENSMUST00000110942
66,ENSMUST00000024756
67,ENSMUST00000059339
68,ENSMUST00000238882
69,ENSMUST00000067786
70,ENSMUST00000120690
71,ENSMUST00000103093
72,ENSMUST00000113575
73,ENSMUST00000207982
74,ENSMUST00000033965
75,ENSMUST00000022317
76,ENSMUST00000185789
77,ENSMUST00000034244
78,ENSMUST00000161263
79,ENSMUST00000032726
80,ENSMUST00000206023
81,ENSMUST00000113557
82,ENSMUST00000061601
83,ENSMUST00000103217
84,ENSMUST00000072634
85,ENSMUST00000106545
86,ENSMUST00000000033
87,ENSMUST00000202102
88,ENSMUST00000198625
89,ENSMUST00000108308
90,ENSMUST00000212270
91,ENSMUST00000041890
92,ENSMUST00000035325
93,ENSMUST00000139476
94,ENSMUST00000170356
95,ENSMUST00000041913
96,ENSMUST00000026487
97,ENSMUST00000239072
98,ENSMUST00000112756
99,ENSMUST00000061450
100,ENSMUST00000024931
101,ENSMUST00000093138
102,ENSMUST00000147377
103,ENSMUST00000003512
104,ENSMUST00000037609
105,ENSMUST00000039431
106,ENSMUST00000048216
107,ENSMUST00000225717
108,ENSMUST00000089461
109,ENSMUST00000002848
110,ENSMUST00000021666
111,ENSMUST00000037235
112,ENSMUST00000109191
113,ENSMUST00000126757
114,ENSMUST00000092639
115,ENSMUST00000097648
116,ENSMUST00000186247
117,ENSMUST00000039048
118,ENSMUST00000018905
119,ENSMUST00000021668
120,ENSMUST00000094179
121,ENSMUST00000134667
122,ENSMUST00000024894
123,ENSMUST00000114943
124,ENSMUST00000033828
125,ENSMUST00000121473
126,ENSMUST00000166466
127,ENSMUST00000192557
128,ENSMUST00000030010
129,ENSMUST00000030127
130,ENSMUST00000030263
131,ENSMUST00000028426
132,ENSMUST00000098548
133,ENSMUST00000184480
134,ENSMUST00000020441
135,ENSMUST00000169397
136,ENSMUST00000087605
137,ENSMUST00000232205
138,ENSMUST00000029800
139,ENSMUST00000023334
140,ENSMUST00000115366
141,ENSMUST00000005014
142,ENSMUST00000089215
143,ENSMUST00000228002
144,ENSMUST00000204146
145,ENSMUST00000055993
146,ENSMUST00000028081
147,ENSMUST00000022545
148,ENSMUST00000029684
149,ENSMUST00000079597
150,ENSMUST00000131810
151,ENSMUST00000174072
152,ENSMUST00000201198
153,ENSMUST00000033920
154,ENSMUST00000004497
155,ENSMUST00000106236
156,ENSMUST00000156623
157,ENSMUST00000099774
158,ENSMUST00000063886
159,ENSMUST00000017808
160,ENSMUST00000047645
161,ENSMUST00000136201
162,ENSMUST00000150346
163,ENSMUST00000062528
164,ENSMUST00000161567
165,ENSMUST00000056712
166,ENSMUST00000001497
167,ENSMUST00000034785
168,ENSMUST00000114913
169,ENSMUST00000165282
170,ENSMUST00000115323
171,ENSMUST00000004750
172,ENSMUST00000091935
173,ENSMUST00000213106
174,ENSMUST00000111298
175,ENSMUST00000114246
176,ENSMUST00000107503
177,ENSMUST00000073192
178,ENSMUST00000022567
179,ENSMUST00000223982
180,ENSMUST00000123967
181,ENSMUST00000028045
182,ENSMUST00000089185
183,ENSMUST00000039991
184,ENSMUST00000163441
185,ENSMUST00000034029
186,ENSMUST00000038227
187,ENSMUST00000025572
188,ENSMUST00000077290
189,ENSMUST00000090006
190,ENSMUST00000125366
191,ENSMUST00000233684
192,ENSMUST00000034280
193,ENSMUST00000054245
194,ENSMUST00000179784
195,ENSMUST00000177962
196,ENSMUST00000105987
197,ENSMUST00000221220
198,ENSMUST00000061390
199,ENSMUST00000166758
200,ENSMUST00000169282
201,ENSMUST00000021284
202,ENSMUST00000141740
203,ENSMUST00000115099
204,ENSMUST00000076961
205,ENSMUST00000164787
206,ENSMUST00000025875
207,ENSMUST00000102871
208,ENSMUST00000222543
209,ENSMUST00000020171
210,ENSMUST00000021471
211,ENSMUST00000167679
212,ENSMUST00000120709
213,ENSMUST00000171649
214,ENSMUST00000153183
215,ENSMUST00000110117
216,ENSMUST00000087689
217,ENSMUST00000182064
218,ENSMUST00000159068
219,ENSMUST00000143180
220,ENSMUST00000159216
221,ENSMUST00000042081
222,ENSMUST00000234923
223,ENSMUST00000224952
224,ENSMUST00000044954
225,ENSMUST00000069520
226,ENSMUST00000171588
227,ENSMUST00000031779
228,ENSMUST00000107749
229,ENSMUST00000063857
230,ENSMUST00000081440
